id,language,gender_context,category,student_statement,advisor_reply
1057,Mixed,Female,Personal/Family Issues,Family pressure hai ke main degree chor doon. Is liye semester freeze request kar raha/rahi hoon,Advisor se discuss karein aur semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1058,Mixed,Neutral,Financial Issues,Main temporary full time job kar raha hoon to support family. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap work aur studies dono manage kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1059,Mixed,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze consider karein jab tak schedule fix na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1060,RomanUrdu,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
1061,Mixed,Male,Financial Issues,My fee is unpaid and family income suddenly stopped. Is liye semester freeze request kar raha/rahi hoon,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1062,English,Neutral,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi,Semester freeze request karein jab tak transport restore na ho
1063,RomanUrdu,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
1064,RomanUrdu,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
1065,Mixed,Neutral,Financial Issues,Fees installment allow nahi ki ja rahi hai university policy ke wajah se. Is liye semester freeze request kar raha/rahi hoon,Office se discuss karein aur special request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1066,English,Female,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
1067,English,Female,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1068,RomanUrdu,Female,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
1069,Mixed,Male,Mental Health,Mentally bohat exhausted feel kar raha hoon. Is liye semester freeze request kar raha/rahi hoon,Mental health ke liye temporary semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1070,Mixed,Male,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze consider karein jab tak schedule fix na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1071,English,Neutral,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1072,Mixed,Male,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1073,English,Male,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
1074,English,Male,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
1075,Mixed,Female,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze request karein safety ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1076,RomanUrdu,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
1077,English,Neutral,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
1078,RomanUrdu,Female,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
1079,RomanUrdu,Male,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai,Recovery ke liye semester freeze recommended hai
1080,English,Male,Financial Issues,Fees installment allow nahi ki ja rahi hai university policy ke wajah se,Office se discuss karein aur special request submit karein
1081,RomanUrdu,Female,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
1082,RomanUrdu,Male,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
1083,Mixed,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
1084,RomanUrdu,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
1085,English,Neutral,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
1086,RomanUrdu,Male,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
1087,RomanUrdu,Female,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
1088,RomanUrdu,Neutral,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
1089,Mixed,Neutral,Medical Issues,I had surgery and doctor ne complete rest kaha hai. Is liye semester freeze request kar raha/rahi hoon,Doctor certificate ke saath semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1090,RomanUrdu,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
1091,RomanUrdu,Neutral,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1092,Mixed,Female,Administrative Issues,Teacher change request process clear nahi hai. Is liye semester freeze request kar raha/rahi hoon,Advisor se guide lein aur semester pause consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1093,English,Neutral,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1094,English,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1095,English,Male,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
1096,English,Neutral,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
1097,Mixed,Female,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein taake aap family care kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
1098,English,Male,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
1099,Mixed,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1100,English,Male,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
1101,English,Female,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1102,English,Male,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
1103,English,Male,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
1104,RomanUrdu,Female,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
1105,English,Female,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
1106,English,Male,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
1107,Mixed,Male,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi. Is liye semester freeze request kar raha/rahi hoon,Office se clarify karein aur request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1108,English,Female,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi,Semester freeze request karein jab tak transport restore na ho
1109,RomanUrdu,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1110,RomanUrdu,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
1111,RomanUrdu,Male,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
1112,Mixed,Neutral,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1113,English,Female,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
1114,RomanUrdu,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
1115,Mixed,Male,Academic Issues,I failed PF and OOP both and I need time to prepare again. Is liye semester freeze request kar raha/rahi hoon,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1116,RomanUrdu,Male,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1117,RomanUrdu,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1118,RomanUrdu,Male,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
1119,RomanUrdu,Female,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
1120,Mixed,Neutral,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze request karein safety ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1121,English,Neutral,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1122,English,Neutral,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
1123,RomanUrdu,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1124,RomanUrdu,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
1125,English,Neutral,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
1126,Mixed,Male,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar mental health improve karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1127,Mixed,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar workload manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1128,RomanUrdu,Male,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
1129,RomanUrdu,Neutral,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1130,RomanUrdu,Female,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
1131,Mixed,Neutral,Personal/Family Issues,Family pressure hai ke main degree chor doon. Is liye semester freeze request kar raha/rahi hoon,Advisor se discuss karein aur semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1132,English,Female,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
1133,English,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
1134,Mixed,Male,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester pause request submit karein taake classes miss na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1135,RomanUrdu,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1136,RomanUrdu,Male,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1137,English,Male,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
1138,English,Neutral,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
1139,RomanUrdu,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
1140,RomanUrdu,Female,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
1141,Mixed,Male,Medical Issues,I had surgery and doctor ne complete rest kaha hai. Is liye semester freeze request kar raha/rahi hoon,Doctor certificate ke saath semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1142,English,Female,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
1143,Mixed,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze submit karen taake aap recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1144,Mixed,Female,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester pause request submit karein taake classes miss na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1145,RomanUrdu,Female,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
1146,RomanUrdu,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1147,RomanUrdu,Female,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
1148,English,Neutral,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1149,Mixed,Female,Financial Issues,I lost my scholarship and cannot afford this semester. Is liye semester freeze request kar raha/rahi hoon,Financial support ke liye advisor ya office se discuss karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1150,English,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
1151,English,Female,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
1152,English,Neutral,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
1153,English,Female,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
1154,RomanUrdu,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
1155,English,Male,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
1156,Mixed,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommended hai taake aap fully recover kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
1157,Mixed,Neutral,Personal/Family Issues,Family migration ki wajah se semester pause karna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya migration case me. Advisor ne recommend kiya hai semester freeze lene ke liye
1158,English,Neutral,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1159,English,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1160,Mixed,Female,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze ke dauran rest aur recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1161,Mixed,Male,Financial Issues,My fee is unpaid and family income suddenly stopped. Is liye semester freeze request kar raha/rahi hoon,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
1162,RomanUrdu,Female,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1163,RomanUrdu,Neutral,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
1164,English,Male,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
1165,Mixed,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1166,Mixed,Male,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1167,English,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
1168,RomanUrdu,Female,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1169,RomanUrdu,Male,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
1170,RomanUrdu,Male,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
1171,Mixed,Male,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Late fine waiver ya installment ke liye office se contact karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1172,RomanUrdu,Male,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi,Semester freeze request karein jab tak transport restore na ho
1173,English,Male,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1174,Mixed,Female,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze ke dauran rest aur recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1175,English,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
1176,English,Male,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
1177,Mixed,Male,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze ke dauran CGPA improve karne ka plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
1178,Mixed,Neutral,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze consider karein jab tak schedule fix na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1179,RomanUrdu,Neutral,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1180,English,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
1181,English,Female,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
1182,RomanUrdu,Female,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
1183,English,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
1184,RomanUrdu,Female,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai,Semester freeze allow hoti hai relocation ya marriage ki wajah se
1185,Mixed,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester pause request submit karein taake classes miss na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1186,Mixed,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
1187,English,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1188,Mixed,Neutral,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze ke dauran CGPA improve karne ka plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
1189,Mixed,Neutral,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
1190,RomanUrdu,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
1191,English,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
1192,RomanUrdu,Male,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
1193,RomanUrdu,Neutral,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
1194,Mixed,Male,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1195,RomanUrdu,Female,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
1196,Mixed,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
1197,English,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
1198,Mixed,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1199,Mixed,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester. Is liye semester freeze request kar raha/rahi hoon,Financial support ke liye advisor ya office se discuss karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1200,RomanUrdu,Female,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
1201,RomanUrdu,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
1202,Mixed,Female,Personal/Family Issues,Family pressure hai ke main degree chor doon. Is liye semester freeze request kar raha/rahi hoon,Advisor se discuss karein aur semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1203,Mixed,Female,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1204,RomanUrdu,Female,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
1205,Mixed,Female,Mental Health,Depression ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Advisor ke saath discuss karein aur semester freeze lein. Advisor ne recommend kiya hai semester freeze lene ke liye
1206,RomanUrdu,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
1207,English,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
1208,RomanUrdu,Female,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
1209,RomanUrdu,Female,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
1210,Mixed,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
1211,RomanUrdu,Neutral,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
1212,English,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
1213,English,Male,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
1214,Mixed,Neutral,Local/Other Issues,Floods damaged roads and internet is not working. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai disaster situations me. Advisor ne recommend kiya hai semester freeze lene ke liye
1215,Mixed,Neutral,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze ke dauran rest aur recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1216,English,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
1217,English,Male,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
1218,English,Neutral,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
1219,Mixed,Female,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze le kar responsibilities manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
1220,English,Male,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
1221,Mixed,Male,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
1222,RomanUrdu,Male,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
1223,English,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai,Recovery ke liye semester freeze recommended hai
1224,Mixed,Female,Personal/Family Issues,Family migration ki wajah se semester pause karna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya migration case me. Advisor ne recommend kiya hai semester freeze lene ke liye
1225,English,Neutral,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
1226,English,Neutral,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
1227,RomanUrdu,Neutral,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
1228,Mixed,Male,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommended hai taake aap fully recover kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
1229,Mixed,Female,Academic Issues,DSA is too hard for me and I need a break to improve basics. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
